year,species,group
2013,ALBACORA O PEZ ESPADA,albacora
2013,ATUN ALETA AMARILLA,atun
2013,ATUN OJOS GRANDES,atun
2013,AYANQUE,pescado_otros
2013,BAGRE AGUA DULCE,pescado_otros
2013,CABRILLA,pescado_otros
2013,CARACOL PIQUILHUE,caracoles_otros
2013,COJINOBA DEL NORTE,pescado_otros
2013,COJINOBA DEL SUR,pescado_otros
2013,CRUSTACEO NO CLASIFICADO,crustaceos_otros
2013,DORADO DE ALTURA,pescado_otros
2013,HAEMATOCOCCUS,alga
2013,HALIBUT O FLETAN,pescado_otros
2013,KONSO,pescado_otros
2013,LENGUADO FINO,pescado_otros
2013,LENGUADO OJOS CHICOS,pescado_otros
2013,NANUE,pescado_otros
2013,PULPO,pulpo
2013,SALMON DEL ATLANTICO,salmon
2013,SALMON PLATEADO,salmon
2013,SPIRULINA,alga
2013,TIBURON O MARRAJO,tiburon
2013,TRUCHA ARCO IRIS,trucha
2014,HAEMATOCOCCUS,alga
2014,SALMON DEL ATLANTICO,salmon
2014,SALMON PLATEADO O COHO,salmon
2015,SALMON DEL ATLANTICO,salmon
2015,SALMON PLATEADO O COHO,salmon
2016,HAEMATOCOCCUS,alga
2016,SALMON DEL ATLANTICO,salmon
2016,SALMON PLATEADO O COHO,salmon
2016,SPIRULINA,alga
2017,HAEMATOCOCCUS,alga
2017,HUIRO NEGRO O CHASCON,alga
2017,SALMON DEL ATLANTICO,salmon
2017,SALMON PLATEADO O COHO,salmon
2017,SPIRULINA,alga