species,sc_name,species_en,category,reference,mean_yield
AGUJILLA,Scomberesox saurus scombroides,NA,small fish,,0.5
ALBACORA O PEZ ESPADA,Xiphias gladius,Swordfish,,,0.425
ALMEJA,Venus antiqua,Chilean clam,,Gari solida,0.225
ANCHOVETA,Engraulis ringens,Anchoveta,,,0.55
ANGUILA,Ophichthus spp.,eel,,Ophichthus remiger,0.4
APANADO,Hemilutjanus macrophthalmos,Grape-eye seabass,,,0.525
ATUN ALETA AMARILLA,Thunnus albacares,Yellowfin tuna,,Thunnus sp,0.475
ATUN ALETA LARGA,Thunnus alalunga,Albacore,,Thunnus sp,0.475
ATUN CHAUCHERA,Gatrochisma melampus,Butterfly kingfish,,Thunnus sp,0.475
ATUN OJOS GRANDES,Thunnus obesus,Bigeye tuna,,Thunnus sp,0.475
AYANQUE,Cynoscion analis,Peruvian weakfish,,,0.6
AZULEJO,Prionace glauca,Blue shark,,shark average,0.56
BACALADILLO O MOTE,Normanichthys crockeri,Mote sculpin,,,0.5
BACALAO DE PROFUNDIDAD,Dissostichus eleginoides,Patagonian toothfish,,,0.425
BAGRE AGUA DULCE,Ictalurus punctatus,Channel catfish,,Ariidae,0.475
BESUGO,Epigonus crassicaudus,NA,small fish,,0.5
BLANQUILLO,Prolatilus jugularis,Pacific sandperch,small fish,,0.5
BONITO,Sarda chiliensis,Eastern Pacific bonito,,,0.6
BRECA O BILAGAY,Cheilodactylus variegatus,Peruvian morwong,,,0.5
BROTULA,Salilota australis,Tadpole codling,small fish,,0.5
CABALLA,Scomber japonicus,Chub mackerel,,,0.6
CABINZA,Isacia conceptionis,Cabinza grunt,,,0.5
CABRILLA,Paralabrax humeralis,Peruvian rock seabass,,,0.525
CABRILLA COMUN,Paralabrax humeralis,Peruvian rock seabass,,,0.525
CALAMAR,Loligo gahi,Patagonian squid,,Doryteuthis gahi,0.775
CAMARON DE ROCA,Rhynchocinetes typus,Rock shrimp,,Cryphiops caementarius,0.2
CAMARON NAILON,Heterocarpus reedi,Chilean nylon shrimp,,Cryphiops caementarius,0.2
CANGREJO DORADO DE J. FERNANDEZ,Chaceon chilensis,Juan Fern‡ndez golden crab,,Crabs,0.225
CANQUE,Stellifer minor,Minor stardrum,,Stellifer pizarroensis,0.525
CARACOL LOCATE,Thais chocolata,Snail locate,,Sea snails,0.2
CARACOL PALO PALO,Argobuccinum spp.,Sanil palo palo,,Sea snails,0.2
CARACOL PICUYO,Odontocymbiola magellanica,Snail picuyo,,Sea snails,0.2
CARACOL PIQUILHUE,Adelomelon ancilla,Snail Piquilhue,,Sea snails,0.2
CARACOL RUBIO,Xantochorus cassidiformis,Snail Rubio,,Sea snails,0.2
CARACOL TEGULA,Tegula atra,Snail tegula,,Sea snails,0.2
CARACOL TRUMULCO,Chorus giganteus,Snail trumulco,,Sea snails,0.2
CENTOLLA,Lithodes santolla,Southern king crab,,Crabs,0.225
CENTOLLON,Paralomis granulosa,Softshell red crab,,Crabs,0.225
CENTOLLON DEL NORTE,Paralomis spp.,Northern crab,,Crabs,0.225
CHANCHARRO,Helicolenus lengerichi,Rockfish helicolenus,small fish,,0.5
CHASCA,Gelidium rex,Red algae,algae,Dry ,0.75
CHASCON O HUIRO NEGRO,Lessonia nigrescens,Giant grey kelp,algae,Dry ,0.75
CHICOREA DE MAR,Chondracanthus chamissoi,Red algae chicorea,algae,Dry ,0.75
CHOCHA,Trochita trochiformes,Snail trochita,,Sea snails,0.2
CHOLGA,Aulacomya ater,Chilean ribbed mussel,,,0.175
CHORITO,Mytilus chilensis,Chilean mussel,,Aulacomya ater,0.175
CHORO,Choromytilus chorus,Chorus Mussel,,Aulacomya ater,0.175
COCHAYUYO,Durvillaea antarctica,New Zealand bull ,algae,Dry ,0.75
COCHINILLA,Navodon Paschalis,Navodon,small fish,,0.5
COJINOBA DEL NORTE,Seriolella violacea,Palm ruff,,,0.6
COJINOBA DEL SUR,Seriolella caerulea,White warehou,,Seriolella violacea,0.6
COJINOBA MOTEADA,Seriolella punctata,Silver warehou,,Seriolella violacea,0.6
CONGRIO COLORADO,Genypterus chilensis,Red cusk-eel,,Genypterus maculatus,0.5
CONGRIO DORADO,Genypterus blacodes,Pink cusk-eel,,Genypterus maculatus,0.5
CONGRIO NEGRO,Genypterus maculatus,Black cusk-eel,,,0.5
CORVINA,Cilus gilberti,Corvina drum,,,0.55
CRUSTACEO NO CLASIFICADO,Crustacea,Crustaceans,crustaceo,,0.2
CULENGUE,Gari solida,Pacific clam,,,0.225
DORADO DE ALTURA,Coryphaena hippurus,Common dolphinfish,,,0.6
DRACO RAYADO,Champsocephalus gunnari,Mackerel icefish,,Mackerel average,0.55
ERIZO,Loxechinus albus,Chilean sea urchin,,,0.075
GAMBA,Haliporoides diomedeae,Chilean knife shrimp,,Changallo shrimp,0.2
HUAIQUIL O CORVINILLA,Micropogonias manni,Micropogonias manni,small fish,,0.5
HUEPO O NAVAJA DE MAR,Ensis macha,Razor clam,,Gari solida,0.225
HUIRO,Macrocystis spp.,Giant kelp,algae,Dry ,0.75
HUIRO PALO,Lessonia trabeculata,Giant brown kelp,algae,Dry ,0.75
JAIBA LIMON,Cancer porteri,Crab limon,,Crabs,0.225
JAIBA MARMOLA,Cancer edwardsi,Mola rock crab,,Crabs,0.225
JAIBA MORA,Homalaspis plana,Blackberry crab,,Crabs,0.225
JAIBA PANCHOTE O CANGREJO,Taliepus dentatus,Crab panchote,,Crabs,0.225
JAIBA PATUDA,Taliepus marginatus,Crab patuda,,Crabs,0.225
JAIBA PELUDA O PACHONA,Cancer setosus,Crab peluda,,Crabs,0.225
JAIBA REINA,Cancer coronatus,Queen Crab,,Crabs,0.225
JAIBA REMADORA,Ovalipes trimaculatus,Rowing Crab,,Crabs,0.225
JERGUILLA,Aplodactylus punctatus,Jerguilla,,,0.5
JIBIA O CALAMAR ROJO,Dosidicus gigas,Jumbo flying squid,,,0.8
JULIANA O TAWERA,Tawera gayi,Tawera,,Gari solida,0.225
JUREL,Trachurus murphyi,Chilean jack mackerel,,,0.5
KONSO,Ruvettus pretiosus,Oilfish,,,0.425
LANGOSTA DE J.FERNANDEZ,Jasus frontalis,Juan Fernandez rock lobster,,Crabs,0.225
LANGOSTA ENANA,Projasus bahamondei,Chilean Jagged Lobster,,Crabs,0.225
LANGOSTINO AMARILLO,Cervimunida johni,Blue squat lobster,,Crabs,0.225
LANGOSTINO COLORADO,Pleuroncodes monodon,Red squat lobster,,Crabs,0.225
LANGOSTINO ENANO,Pleuroncodes sp,Squat lobster,,Crabs,0.225
LAPA NEGRA,Fissurella latimarginata,Black keyhole limpet,,Fissurella maxima,0.275
LAPA PICTA,Fissurella picta,Picta Keyhole limpet,,Fissurella maxima,0.275
LAPA REINA,Fissurella maxima,Giant keyhole limpet,,,0.275
LAPA ROSADA,Fissurella cumingi,Rosy keyhole limpet,,,0.275
LECHUGUILLA,Ulva lactuca,Sea lettuce,algae,Dry ,0.75
LENGUADO OJOS CHICOS,Paralichthys microps,Small-eye flounder,small fish,,0.5
LIQUEN GOMOSO,Gymnogongrus furcellatus,Liquen Gomoso,algae,Dry ,0.75
LISA,Mugil cephalus,Flathead grey mullet,,,0.6
LOCO,Concholepas concholepas,Chilean abalone,,,0.225
LUCHE,Porphyra columbina,Luche,algae,Dry ,0.75
LUGA CUCHARA O CORTA,Mazzaella laminarioides,Luga,algae,Dry ,0.75
LUGA NEGRA O CRESPA,Sarcothalia crispata,Black algae luga,algae,Dry ,0.75
LUGA-ROJA,Gigartina skottsbergii,Red luga,algae,Dry ,0.75
MACHA,Mesodesma donacium,Macha clam,,Gari solida,0.225
MACHUELO O TRITRE,Ethmidium maculatum,Pacific menhaden,,,0.55
"MARLIN,""Tetrapturus spp., Makaira spp"",Tetrapturus,medium fish,,0.5"
MERLUZA COMUN,Merluccius gayi gayi,South Pacific hake,,Merluccius gayi peruanus,0.5
MERLUZA DE COLA,Macruronus magellanicus,Patagonian grenadier,,Merluccius gayi peruanus,0.5
MERLUZA DE TRES ALETAS,Micromesistius australis,Southern blue whiting,,Merluccius gayi peruanus,0.5
MERLUZA DEL SUR O AUSTRAL,Merluccius australis,Southern hake,,Merluccius gayi peruanus,0.5
NANUE,Kiphosus sandwicensis,Pacific chub,small fish,,0.5
NAVAJUELA,Tagelus dombeii,Navajuela,,Gari solida,0.225
OSTION DEL SUR,Chlamys vitrea,Sea scalop,,Gari solida,0.225
OSTRA CHILENA,Ostrea chilensis,Chilean flat oyster,,,0.125
PAMPANITO,Stromateus stellatus,Starry butterfish,small fish,,0.5
PEJEGALLO,Callorhinchus callorhynchus,American Elephantfish,small fish,,0.5
PEJEPERRO,Semicossyphus maculatus,Sheephead,medium fish,,0.5
PEJERRATA,Coelorhynchus chilensis,Chilean grenadier,small fish,,0.5
PEJERREY DE MAR,Odontesthes regia,Chilean silverside,,,0.425
PEJESAPO,Sicyases sanguin,Pejesapo,small fish,,0.5
PEJEZORRO,Alopias vulpinus,Thresher,,Alopias sp.,0.6
PELILLO,Gracilaria spp.,Red algae gracilaria,algae,Dry ,0.75
PEPINO DE MAR,Athyonidium chilensis,Sea cucumber,equinoderm,,1
PESCADO NO CLASIFICADO,Pescado,fish,fish,,0.5
PEZ SOL,Lampris guttatus,Opah,,,0.45
PICOROCO,Austromegabalanus psittacus,Giant barnacle,,Pollicipes pollicipes,0.125
PIURE,Pyura chilensis,Chilean tunicate,tunicate,Pollicipes pollicipes,0.125
PULPO,Octopus (vulgaris) mimus,Changos octopus,,,0.725
PULPO DEL SUR,Enteroctopus megalocyathus,Southern red octopus,,,0.725
PUYE,Galaxias maculatus,Common galaxias,small fish,,0.5
RAYA ESPINOSA,Dipturus trachyderma,Ray,,Rays,0.5
RAYA VOLANTIN,Zearaja chilensis,Yellownose skate,,Rays,0.5
REINETA,Brama australis,Southern rays bream,,,0.5
ROBALO,Eleginops maclovinus,Patagonian blennie,small fish,,0.5
ROCOCO,Paralonchurus peruanus,Peruvian banded croaker,,,0.525
ROLLIZO,Pinguipes chilensis,Chilean sandperch,small fish,,0.5
RONCACHO,Sciaena deliciosa,Lorna drum,,,0.525
SARDINA AUSTRAL,Sprattus fuegensis,Falkland sprat,,South American pilchard fillet,0.5
SARDINA COMUN,Strangomera bentincki,Araucanian herring,,South American pilchard fillet,0.5
SARDINA ESPANOLA,Sardinops sagax,South American pilchard,,,0.5
SARGO,Anisotremus scapularis,Peruvian grunt,,,0.525
SIERRA,Thyrsites atun,Snoek,,Sarda chiliensis,0.6
TAQUILLA,Mulinia edulis,Taquilla,,Gari solida,0.225
TIBURON O MARRAJO,Isurus oxyrinchus,Shortfin mako,,,0.55
TIBURON SARDINERO,Lamna nasus,Porbeagle,,,0.45
TOLLO,Mustelus mento,Speckled smooth-hound,,shark average,0.56
TUMBAO,Semele solida,Tumbao,,Gari solida,0.225
VIDRIOLA, PALOMETA, DORADO O TOREMO,Seriola lalandi,Yellowtail amberjack,,,0.55
VIEJA O MULATA,Graus nigra,Vieja,,,0.55
ALBACORA O PEZ ESPADA / IVI HEHEU,Xiphias gladius,Swordfish,,,0.425
ANGUILA BABOSA,Eptatretus polytrema,Fourteen-gill hagfish,,Ophichthus remiger,0.4
ATUN ALETA AMARILLA / KAHI AVE AVE,Thunnus albacares,Yellowfin tuna,,Thunnus sp,0.475
BACALAO I.PASCUA,ATUN ESCOFINA/KONSO,Ruvettus pretiosus,Oilfish,,,0.425
CABRILLA ESPANOLA,Sebastes capensis,Cape redfish,small fish,,0.5
CHASQUE O CHALACO,Auchenionchus spp.,Chalaco,small fish,,0.5
COJINOBA DEL NORTE / PIAFRI,Seriolella violacea,Palm ruff,,,0.6
COJINOBA DEL SUR O AZUL,Seriolella caerulea,White warehou,,Seriolella violacea,0.6
DORADO DE ALTURA / MAHI MAHI,Coryphaena hippurus,Common dolphinfish,,,0.6
EMPERADOR,Luvarus imperialis,Luvar,big fish,,0.5
GRANADERO GRANDE,Macrourus holotrachys,Bigeye grenadier,,Genypterus maculatus,0.5
JAIBA PACO,Mursia gaudichaudi,Paco crab,,Crabs,0.225
JAIBA PANCORA,Hemigrapsus crenulatus,Hairy-handed crab,,Crabs,0.225
JUREL DE JUAN FERNANDEZ,Caranx georgianus,White trevally,,Trachurus murphyi,0.5
KRILL,Euphasia superba,Antarctic krill,,Cryphiops caementarius,0.2
LANGOSTINO DE LOS CANALES,Munida subrugosa,Channel squat lobster,,Crabs,0.225
LAPA,Fissurella spp.,Keyhole limpet,,Fissurella maxima,0.275
LENGUADO,Paralichthys spp.,Large-tooth flounders,small fish,,0.5
LENGUADO DE OJOS CHICOS,Paralichthys microps,Small-eye flounder,small fish,,0.5
MARLIN RAYADO,Tetrapturus audax,Striped marlin,,Kajikia audax,0.475
MORENA DE ALETA BAJA / KOREHA HA OKO,Gymnothorax porphyreus,Lowfin moray,,Ophichthus remiger,0.4
PAMPANITO DE JUAN FERNANDEZ,Scorpis chilensis,Pampanito,small fish,,0.5
PEJE GATO HOCICON,Apristurus nasutus,Largenose catshark,,shark average,0.56
PICHIBUENO,Menticirrhus ophicephalus,Snakehead kingcroaker,,,0.5
PULGA SALTARINA O GAMBITA,Gammarus sp,Grammarus,Crustaceo,,0.2
PULPO DEL NORTE,Octopus (vulgaris) mimus,Changos octopus,,,0.725
SALMON REY,Oncorhynchus tshawytscha,Chinook salmon,Salmon,,0.5
TIBURON FUME, GRIS O GATA DE MAR,Hexanchus griseus,Bluntnose sixgill shark,,shark average,0.56
TIBURON NARIGON GRIS,Deania calcea,Birdbeak dogfish,,shark average,0.56
TIBURON O MARRAJO DENTUDO,Isurus oxyrinchus,Shortfin mako,,,0.55
TOLLO DE CACHOS,Squalus acanthias,Picked dogfish,,shark average,0.56
ACHA O HACHA,Medialuna ancietae,Sea Chab,medium fish,,0.5
ATUN OJOS GRANDES / KAHI MATA TATA,Thunnus obesus,Bigeye tuna,,Thunnus sp,0.475
BACALAO DE J.FERNANDEZ / KOPUKU HAHA ROA,Polyprion oxygeneios,Hapuku wreckfish,,other bacalaos,0.425
BARRACUDA O PETO / KANA KANA,Acanthocybium solandri,Wahoo,,,0.4
CAMARON NAVAJA,Campylonotus semistriatus,Razor shrimp,,Cryphiops caementarius,0.2
CENTOLLA DEL NORTE,Lithodes spp.,Northen king crab,,Crabs,0.225
LAPA BONETE,Fissurella costata,Costate keyhole limpet,,Fissurella maxima,0.275
LENGUADO DE OJOS GRANDES,Hippoglossina macrops,Bigeye flounder,small fish,,0.5
MEDUSA,Chrysaora Plocamia,South American sea nettle,medusa,,1
PEJERRATA O GRANADERO,Coelorhynchus spp,Banded whiptail,medium fish,,0.5
PULPO DE JUAN FERNANDEZ,Octopus Crusoe,Crusoe octopus,,Octopus (vulgaris) mimus,0.725
RAYA AGUILA,Myliobatis peruvianus,Peruvian eagle ray,,Rays,0.5
REMOREMO,Elagatis bipinnulata,Rainbow runner,big fish,,0.5
BACALAO ANTARTICO,Dissostichus mawsoni,Antarctic toothfish,,other bacalaos,0.425
CALAMAR ILLEX O POTA DEL ATLANTICO,Illex argentinus,Argentine shortfin squid,,Doryteuthis gahi,0.775
MERLUZA DEL ATLANTICO,Merluccius hubbsi,Argentine hake,,Merluccius gayi peruanus,0.5
NOTOTENIA O MARUJITO,Patagonotothen ramsayi,Longtail southern cod,medium fish,,0.5
POTA DEL PACIFICO,Todarodes Pacificus,Japanese flying squid,,Doryteuthis gahi,0.775
RAYA MOTEADA O NEGRA,Sympterygia brevicaudata,Shorttail fanskate,,Rays,0.5
ATUN LISTADO,BARRILETE,CACHURRETA/AUHOPU,Katsuwonus pelamis,Skipjack tuna,,,0.475
BAGRE,Ameiurus melas,Black bullhead,medium fish,,0.5
BRECA DE JUAN FERNANDEZ,Nemadactylus gayi,Breca,,Peruvian morwong,0.5
CARACOL TROPHON,Trophon geversianus,Gevers's trophon,,Sea snails,0.2
PEJERRATA O GRANADERO ESCAMOSO,Macrourus carinatus,Ridge scaled rattail,medium fish,,0.5
CUBICEPS,Cubiceps,Driftfish,small fish,,0.5
ALGAS MIXTAS,Algas,Algaes,algae,Dry ,0.75
CAROLA,Callophyllis variegata,Carola,algae,Dry ,0.75
HUIRO NEGRO O CHASCON,Lessonia nigrescens,Giant grey kelp,algae,Dry ,0.75
JUREL FINO,Decapterus macrosoma,Shortfin scad,,,0.5
MATAHUIRA, KARA KARA O KRA KRA,Heteropriacanthus cruentatus,Glasseye,small fish,,0.5
NANUE, NANUE PARA, PISI O PUA,Kiphosus sandwicensis ,Pacific chub,small fish,,0.5
QUIMERA NEGRA,Hydrolagus melanophasma,Eastern Pacific Black Ghostshark,,Ophichthus remiger,0.4
HAEMATOCOCCUS,Haematococcus pluvialis,Haematococcus,algae,Dry ,0.75
SPIRULINA,Spirulina spp.,Spirulina,algae,Dry ,0.75
HALIBUT O FLETAN,Hippoglossus hippoglossus,Atlantic halibut,medium fish,,0.5
LENGUADO FINO,Paralichthys adpersus,Fine flounder,Medium fish,,0.5
SALMON DEL ATLANTICO,Salmo salar,Atlantic salmon,Salmon,,0.5
SALMON PLATEADO,Oncorhynchus kisutch,Coho salmon,Salmon,,0.5
TRUCHA ARCO IRIS,Oncorhynchus mykiss,Rainbow trout,,Oncorhynchus mykiss fillete,0.5
TURBOT,Scophtalmus maximus,Turbot,medium fish,,0.5
ABALON JAPONES,Haliotis discus hannai,Japanese abalone,,Chilean abalone,0.225
ABALON ROJO,Haliotis rufescens,Red Abalone,,Chilean abalone,0.225
OSTION DEL NORTE,Argopecten purpuratus,Peruvian calico scallop,,,0.15
OSTRA DEL PACIFICO,Crassostrea gigas,Pacifuc Oyster,,Gari solida,0.225
SALMON PLATEADO O COHO,Oncorhynchus kisutch,Coho salmon,Salmon,,0.5
TRUCHA ARCOIRIS,Oncorhynchus mykiss,Rainbow trout,,Oncorhynchus mykiss fillete,0.5
JAIBA,Cancer spp.,Crab,,Crabs,0.225
SALMON OTROS,Salmonidae,Salmon,Salmon,,0.5
CARACOL REAL O GIGANTE O VOLUTA ANGULOSA,Zidona dufresnei,Giant snail,,Sea snails,0.2
LUGA LUGA,Mazzaella membranacea,Luga,algae,Dry ,0.75
ALMEJA O TACA,Protothaca taca,Taca clam,,Gari solida,0.225
OSTION PATAGONICO,Chlamys patagonica,Patagonian scallop,,Peruvian calico scallop,0.15
ANCHOITA,Engraulis anchoita,Argentine anchovy,small fish,,0.5
HIRAME,Paralichthys olivaceus,Bastard halibut,medium fish,,0.5
CAMARON ECUATORIANO O PENAEUE,Penaeus vannamei,Whiteleg shrimp,,Changallo shrimp,0.2
