especie_SERNAPESCA,nombre_cientifico_SERNAPESCA,nombre_cientifico_aduana,codigo_aduana,combined_with_other_species,product_more_20_percent,alive
CHASCA                                  ,Gelidium rex,Gelidium ,1212.2110,0,0,0
CHASCA                                  ,Gelidium rex,Gelidium ,1212.2910,0,0,0
CHASCON O HUIRO NEGRO                ,Lessonia nigrescens,Lessonia spp.,1212.2130,0,0,0
CHASCON O HUIRO NEGRO                ,Lessonia nigrescens,Lessonia spp.,1212.2930,0,0,0
CHICOREA DE MAR                     ,Chondracanthus chamissoi ,Gigartina spp.,1212.2150,0,0,0
CHICOREA DE MAR                     ,Chondracanthus chamissoi ,Gigartina spp.,1212.2950,0,0,0
COCHAYUYO                                ,Durvillaea antarctica ,Durvillaea Antarctica,1212.2170,0,0,0
COCHAYUYO                                ,Durvillaea antarctica ,Durvillaea Antarctica,1212.2970,0,0,0
HUIRO                                    ,Macrocystis spp.,Macrocystis spp.,1212.2160,0,0,0
HUIRO                                    ,Macrocystis spp.,Macrocystis spp.,1212.2960,0,0,0
HUIRO PALO                               ,Lessonia trabeculata,NA,NA,NA,NA,NA
LECHUGUILLA                              ,Ulva lactuca,NA,NA,NA,NA,NA
LIQUEN GOMOSO                            ,Gymnogongrus furcellatus ,NA,NA,NA,NA,NA 
LUCHE                                    ,Porphyra columbina ,NA,NA,NA,NA,NA 
LUGA CUCHARA O CORTA                     ,Mazzaella laminarioides,NA,NA,NA,NA,NA
LUGA NEGRA O CRESPA                      ,Sarcothalia crispata,NA,NA,NA,NA,NA 
LUGA-ROJA                                ,Gigartina skottsbergii,NA,NA,NA,NA,NA
PELILLO                                  ,Gracilaria spp.,Gracilaria spp.,1212.2120,0,0,0
PELILLO                                  ,Gracilaria spp.,Gracilaria spp.,1212.2920,0,0,0
AGUJILLA                       ,Scomberesox saurus scombroides,NA,NA,NA,NA,NA
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4710,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4720,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4730,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.5400,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.8400,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.9100,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0305.5400,1,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5710,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5720,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0303.5790,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0304.4500,0,0,0
ALBACORA O PEZ ESPADA / IVI HEHEU        ,Xiphias gladius,Xiphias gladius,0302.4790,0,0,0
ANCHOVETA                                ,Engraulis ringens,Engraulis ringens,0305.3940,0,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0301.9200,0,0,1
ANGUILA,Ophichthus spp.,Anguilla spp.,0302.7400,0,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.5100,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.6400,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.3900,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.5200,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.6900,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.4400,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0305.3100,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0304.9300,1,0,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0303.2600,0,0,0
ANGUILA                                  ,Ophichthus spp.,Anguilas,1604.1700,0,1,0
ANGUILA,Ophichthus spp.,Anguilla spp.,0302.5990,1,0,0
ANGUILA BABOSA                           ,Eptatretus polytrema,NA,NA,NA,NA,NA
APAÑADO                                  ,Hemilutjanus macrophthalmos,NA,NA,NA,NA,NA
ATUN ALETA AMARILLA / KAHI AVE AVE       ,Thunnus albacares,Thunnus albacares,0302.3200,0,0,0
ATUN ALETA AMARILLA / KAHI AVE AVE       ,Thunnus albacares,Thunnus albacares,0303.4200,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0302.3110,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0302.3120,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0303.4190,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0303.4120,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0303.4110,0,0,0
ATUN ALETA LARGA                         ,Thunnus albacares,Thunnus alalunga,0302.3190,0,0,0
ATUN CHAUCHERA                           ,Gatrochisma melampus,NA,NA,NA,NA,NA
AZULEJO                                  ,Prionace glauca,Prionace glauca,302.9212,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0302.8112,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0303.8112,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0303.9212,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0304.4712,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0304.5612,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0304.8812,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0304.9612,0,0,0
AZULEJO                                  ,Prionace glauca,Prionace glauca,0305.7112,0,0,0
BACALADILLO O MOTE                       ,Normanichthys crockeri,NA,NA,NA,NA,NA
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8312,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8311,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8313,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,302.8319,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8312 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8311 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8313,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0303.8319,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0304.4610 ,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.8510,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9211,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9212,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,304.9219,0,0,0
BACALAO DE PROFUNDIDAD                   ,Dissostichus eleginoides,Dissostichus eleginoides,0305.3950,0,0,0
"BACALAO I.PASCUA,ATUN ESCOFINA/KONSO     ",Ruvettus pretiosus,NA,NA,NA,NA,NA
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0303.8994,0,0,0
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0304.8950 ,0,0,0
BESUGO                                   ,Epigonus crassicaudus,Epigonus crassicaudus ,0303.8994 ,0,0,0
BLANQUILLO                               ,Prolatilus jugularis,NA,NA,NA,NA,NA
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0305.5400,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0302.4900,1,0,0
BONITO                                   ,Sarda chiliensis,Sarda spp.,0303.5900,1,0,0
BONITO                                   ,Sarda chiliensis,Bonito,1604.1430,0,1,0
BONITO                                   ,Sarda chiliensis,Bonito,1604.2020,0,1,0
BRECA O BILAGAY                          ,Cheilodactylus variegatus,NA,NA,NA,NA,NA
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0302.4400,1,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0303.5411,0,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0303.5419,0,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0304.4992,0,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0304.8974,0,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0304.9969,1,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0305.5400,1,0,0
CABALLA                                  ,Scomber japonicus,Scomber japonicus,0302.4400,1,0,0
CABALLA                                  ,Scomber japonicus,Caballas,1604.1500,0,1,0
CABALLA                                  ,Scomber japonicus,Caballas,1604.2050,0,1,0
CABINZA                                  ,Isacia conceptionis,NA,NA,NA,NA,NA
CABRILLA COMUN                           ,Paralabrax humeralis,NA,NA,NA,NA,NA
CABRILLA ESPAÑOLA                        ,Sebastes capensis,NA,NA,NA,NA,NA
CANQUE                                   ,Stellifer minor,NA,NA,NA,NA,NA
CHANCHARRO                               ,Helicolenus lengerichi,NA,NA,NA,NA,NA
CHASQUE O CHALACO                        ,Auchenionchus spp.,NA,NA,NA,NA,NA 
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0302.8946,1,0,0
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0302.8947,1,0,0
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0303.8951,1,0,0
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0303.8952,1,0,0
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0303.8953,1,0,0
COJINOBA DEL NORTE / PIAFRI              ,Seriolella violacea,Seriolella violacea,0303.8959,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0303.8951,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0303.8952,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0303.8953,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0303.8959,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0302.8946,1,0,0
COJINOBA DEL SUR O AZUL                  ,Seriolella caerulea,Seriolella caerulea,0302.8947,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Congrio,1604.1920,1,1,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0302.8943,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0302.8944,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0303.8943,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0303.8944,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0304.8930,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0304.9971,1,0,0
CONGRIO COLORADO                         ,Genypterus chilensis,Genypterus chilensis,0304.9979,1,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Congrio,1604.1920,1,1,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0302.8941,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0302.8942,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0302.8945,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0303.8941,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0303.8942,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0303.8945,0,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0304.9971,1,0,0
CONGRIO DORADO                           ,Genypterus blacodes,Genypterus blacodes,0304.9979,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0302.8943,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Congrio,1604.1920,1,1,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0302.8944,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0303.8943,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0303.8944,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0304.8930,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0304.9971,1,0,0
CONGRIO NEGRO                            ,Genypterus maculatus,Genypterus maculatus,0304.9979,1,0,0
CORVINA                                  ,Cilus gilberti,Cilus gilberti,0303.8910,0,0,0
CORVINA                                  ,Cilus gilberti,Cilus gilberti,0302.8910,0,0,0
DORADO DE ALTURA / MAHI MAHI             ,Coryphaena hippurus,Coryphaena hippurus,0303.8996,0,0,0
DORADO DE ALTURA / MAHI MAHI             ,Coryphaena hippurus,Coryphaena hippurus,0304.8960,0,0,0
EMPERADOR                                ,Luvarus imperialis,NA,NA,NA,NA,NA
JERGUILLA                                ,Aplodactylus punctatus,NA,NA,NA,NA,NA
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0303.5511,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0303.5512,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0303.5513,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0303.5519,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0304.9963,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0304.9964,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0304.8973,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0304.4991,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0302.4511,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0302.4512,0,0,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0302.4519,0,0,0
JUREL                                    ,Trachurus murphyi,Jurel,1604.1911,0,1,0
JUREL                                    ,Trachurus murphyi,Jurel,1604.1912,0,1,0
JUREL                                    ,Trachurus murphyi,Jurel,1604.1913,0,1,0
JUREL                                    ,Trachurus murphyi,Jurel,1604.1919,0,1,0
JUREL                                    ,Trachurus murphyi,Jurel,1604.2040,1,1,0
JUREL                                    ,Trachurus murphyi,Trachurus murphyi,0305.3930,0,0,0
JUREL DE JUAN FERNANDEZ                  ,Caranx georgianus,Caranx spp.,0305.5400,1,0,0
JUREL DE JUAN FERNANDEZ                  ,Caranx georgianus,Caranx spp.,0302.4900,1,0,0
JUREL DE JUAN FERNANDEZ                  ,Caranx georgianus,Caranx spp.,0303.5900,1,0,0
LENGUADO                                 ,Paralichthys spp.,Solea spp.,0302.2300,0,0,0
LENGUADO                                 ,Paralichthys spp.,Solea spp.,0303.3300,0,0,0
LENGUADO DE OJOS CHICOS                  ,Paralichthys microps,NA,NA,NA,NA,NA
LISA                                     ,Mugil cephalus,NA,NA,NA,NA,NA
MACHUELO O TRITRE                        ,Ethmidium maculatum,NA,NA,NA,NA,NA
MARLIN                                   ,"Tetrapturus spp., Makaira spp",Istiophoridae,0303.5900,1,0,0
MARLIN                                   ,"Tetrapturus spp., Makaira spp",Istiophoridae,0305.5400,1,0,0
MARLIN                                   ,"Tetrapturus spp., Makaira spp",Istiophoridae,0302.4900,1,0,0
MARLIN RAYADO                            ,Tetrapturus auda,Istiophoridae,0303.5900,1,0,0
MARLIN RAYADO                            ,Tetrapturus auda,Istiophoridae,0305.5400,1,0,0
MARLIN RAYADO                            ,Tetrapturus auda,Istiophoridae,0302.4900,1,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0302.5411,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0302.5412,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0302.5415,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0303.6611,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0303.6612,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0303.6615,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0304.4410,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0304.7411,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0304.9511,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0304.9512,1,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,0304.9513,1,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluccius gayi gayi,304.9514,0,0,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluza,1604.1940,1,1,0
MERLUZA COMUN                            ,Merluccius gayi gayi,Merluza,1604.2070,1,1,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0302.5911,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0302.5912,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0302.5919,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0303.6910,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0304.4430,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Macruronus magellanicus,0304.7910,0,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Merluza,1604.1940,1,0,0
MERLUZA DE COLA                          ,Macruronus magellanicus,Merluza,1604.2070,1,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0304.4420,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0304.7412,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0302.5413,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0302.5414,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0302.5416,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0303.6613,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0303.6614,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluccius australis,0303.6616,0,0,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluza,1604.1940,1,1,0
MERLUZA DEL SUR O AUSTRAL                ,Merluccius australis,Merluza,1604.2070,1,1,0
MORENA DE ALETA BAJA / KOREHA HA OKO     ,Gymnothorax porphyreus,NA,NA,NA,NA,NA
PAMPANITO                                ,Stromateus stellatus,NA,NA,NA,NA,NA
PAMPANITO DE JUAN FERNANDEZ              ,Scorpis chilensis,NA,NA,NA,NA,NA
PEJE GATO HOCICON                        ,Apristurus nasutus,NA,NA,NA,NA,NA
PEJEGALLO                                ,Callorhinchus callorhynchus,NA,NA,NA,NA,NA
PEJEPERRO                                ,Semicossyphus maculatus,NA,NA,NA,nNA,NA
PEJERREY DE MAR                          ,Odontesthes regia,Odontesthes regia,0302.8949,1,0,0
PEJERREY DE MAR                          ,Odontesthes regia,Odontesthes regia,0303.8998,0,0,0
PEJESAPO                                 ,Sicyases sanguin,NA,NA,NA,NA,NA
PESCADO NO CLASIFICADO                   ,NA,NA,NA,NA,NA,NA
PEZ SOL                                  ,Lampris guttatus,NA,NA,NA,NA,NA
PICHIBUENO                               ,Menticirrhus ophicephalus,NA,NA,NA,NA,NA
PUYE                                     ,Galaxias maculatus,NA,NA,NA,NA,NA
RAYA VOLANTIN                            ,Zearaja chilensis,Zearaja chilensis,0303.8210,0,0,0
RAYA VOLANTIN                            ,Zearaja chilensis,Zearaja chilensis,0304.4810,0,0,0
